nomNT,numéro
"FICHIER",1
"IDFInterro",2
"DECLEtoile",3
"DECL",4
"DEFORInterro",5
"ISinterro",6
"ACCInterro",7
"IDFEtoile",8
"TYPEInterro",9
"PARENTHESE",10
"PARAMS",11
"MODEInterro",12
"OUTInterro",13
"OREtoile",14
"ORInterro",15
"INSTREtoile",16
"INSTR",17
"REVERSEInterro",18
"ELSEINSTRInterro",19
"ELSIFEtoile",20
"ACCESSInterro",21
"OR",22
"ORPrime",23
"AND",24
"ANDPrime",25
"NOT",26
"NOTPrime",27
"EQUALS",28
"EQUALSPrime",29
"COMPARATORS",30
"COMPARATORSPrime",31
"ADD",32
"ADDPrime",33
"MULT",34
"MULTPrime",35
"MOINSUnaire",36
"EXPRESSION",37
"LVALUE",38
"LVALUEList",39